show_id,release_year
NEs916,2020
NEs917,2013
NEs918,2019
NEs919,2021
NEs920,2021
NEs921,2020
NEs922,2018
NEs923,2018
NEs924,2021
NEs925,2020
NEs926,2010
NEs927,2006
NEs928,2010
NEs929,1989
NEs930,2017
NEs931,2010
NEs932,2005
NEs933,2010
NEs934,2009
NEs935,2018
NEs936,2012
NEs937,2020
NEs938,2017
NEs939,2019
NEs940,2013
NEs941,2014
NEs942,2013
NEs943,2003
NEs944,2008
NEs945,2018
NEs946,2020
NEs947,1994
NEs948,2009
NEs949,2018
NEs950,2011
NEs951,2009
NEs952,2002
NEs953,2000
NEs954,2016
NEs955,2018
NEs956,1992
NEs957,2008
NEs958,2021
NEs959,2019
NEs960,2021
NEs961,2021
NEs962,2021
NEs963,2018
NEs964,2021
NEs965,2021
NEs966,2021
NEs967,2021
NEs968,2021
NEs969,2021
NEs970,2014
NEs971,2011
NEs972,2018
NEs973,2021
NEs974,2020
NEs975,2019
NEs976,2021
NEs977,2017
NEs978,2016
NEs979,2014
NEs980,2013
NEs981,2015
NEs982,2004
NEs983,2015
NEs984,2021
NEs985,2015
NEs986,2015
NEs987,2016
NEs988,2019
NEs989,2021
NEs990,2017
NEs991,2015
NEs992,2020
NEs993,2020
NEs994,2021
NEs995,2020
NEs996,2001
NEs997,2021
NEs998,2021
NEs999,2021
NEs1000,2021
NEs1001,2020
NEs1002,2015
NEs1003,2021
NEs1004,2021
NEs1005,2021
NEs1006,2013
NEs1007,2018
NEs1008,2017
NEs1009,2019
NEs1010,2020
NEs1011,2019
NEs1012,2014
NEs1013,2021
NEs1014,2016
NEs1015,2019
NEs1016,1992
NEs1017,2011
NEs1018,2010
NEs1019,2008
NEs1020,2001
NEs1021,2004
NEs1022,2010
NEs1023,2007
NEs1024,2021
NEs1025,2021
NEs1026,2021
NEs1027,2021
NEs1028,2015
NEs1029,2021
NEs1030,2013
NEs1031,2020
NEs1032,2020
NEs1033,2021
NEs1034,2013
NEs1035,2020
NEs1036,2017
NEs1037,2017
NEs1038,2021
NEs1039,2016
NEs1040,2020
NEs1041,2016
NEs1042,2016
NEs1043,2019
NEs1044,2006
NEs1045,2021
NEs1046,2020
NEs1047,2019
NEs1048,2018
NEs1049,2020
NEs1050,2019
NEs1051,2021
NEs1052,2003
NEs1053,2012
NEs1054,2014
NEs1055,2020
NEs1056,1981
NEs1057,2015
NEs1058,2021
NEs1059,2021
NEs1060,2018
NEs1061,2020
NEs1062,2020
NEs1063,2021
NEs1064,2019
NEs1065,2016
NEs1066,2019
NEs1067,2021
NEs1068,2020
NEs1069,2019
NEs1070,2020
NEs1071,2021
NEs1072,2017
NEs1073,2018
NEs1074,2018
NEs1075,2019
NEs1076,2021
NEs1077,2018
NEs1078,2019
NEs1079,2017
NEs1080,2020
NEs1081,2021
NEs1082,2018
NEs1083,2021
NEs1084,2020
NEs1085,2020
NEs1086,2021
NEs1087,2016
NEs1088,2021
NEs1089,2021
NEs1090,2021
NEs1091,2020
NEs1092,2021
NEs1093,2021
NEs1094,2021
NEs1095,2021
NEs1096,2021
NEs1097,2021
NEs1098,2020
NEs1099,2021
NEs1100,2020
NEs1101,2020
NEs1102,2013
NEs1103,2006
NEs1104,2018
NEs1105,2012
NEs1106,2021
NEs1107,2019
NEs1108,2018
NEs1109,2021
NEs1110,2021
NEs1111,2021
NEs1112,2008
NEs1113,2017
NEs1114,2009
NEs1115,2009
NEs1116,2012
NEs1117,2020
NEs1118,2019
NEs1119,2010
NEs1120,2015
NEs1121,2016
NEs1122,2001
NEs1123,2020
NEs1124,2021
NEs1125,1996
NEs1126,2017
NEs1127,1964
NEs1128,2021
NEs1129,2017
NEs1130,2016
NEs1131,2017
NEs1132,2017
NEs1133,2017
NEs1134,2016
NEs1135,2017
NEs1136,2010
NEs1137,2021
NEs1138,2019
NEs1139,2002
NEs1140,2009
NEs1141,1999
NEs1142,2016
NEs1143,2017
NEs1144,2021
NEs1145,2008
